VideoID,Title,PublishedAt,ChannelName,Views,Likes,Comments,Duration_seconds
6nCL4bHjZvg,فان جوخ | الدحيح,2023-05-30 17:00:10+00:00,New Media Academy Life ,3530933.0,138847.0,3420.0,1780.0
9_Or_MzGxVw,التطعيم | الدحيح,2023-05-27 17:00:12+00:00,New Media Academy Life ,2106890.0,62641.0,1596.0,1767.0
KNH8K3O3TCo,خطر الكلب | الدحيح,2023-05-23 17:00:08+00:00,New Media Academy Life ,3107386.0,98231.0,2669.0,1041.0
yw4Wb9baNKE,الغازات | الدحيح,2023-05-20 17:00:11+00:00,New Media Academy Life ,3061885.0,107492.0,3706.0,1307.0
kHYe-nAQT_M,ليه بنتخن في رمضان؟ | الدحيح,2023-05-16 17:00:11+00:00,New Media Academy Life ,3972725.0,114745.0,2487.0,1444.0
7vfsv6Vm7AA,توم وجيري | الدحيح,2023-05-13 17:00:07+00:00,New Media Academy Life ,4630830.0,146681.0,3518.0,1138.0
YiKVJkKFpsQ,الزلزال | الدحيح,2023-05-09 17:00:08+00:00,New Media Academy Life ,3613701.0,100621.0,2237.0,1634.0
4lEDoOcgjPQ,لماذا يرتكب الأذكياء حماقات؟ | الدحيح,2023-05-06 17:00:09+00:00,New Media Academy Life ,5797932.0,157139.0,3346.0,1598.0
BHoFn3rHPx8,التوابل | الدحيح,2023-05-02 18:00:09+00:00,New Media Academy Life ,2620880.0,78244.0,1391.0,1273.0
fWrOwlvPWVQ,الكيتو | الدحيح,2023-04-29 18:00:07+00:00,New Media Academy Life ,3619152.0,137337.0,4042.0,1484.0
01t8wL-jSUc,أميتاب باتشان | الدحيح,2023-04-25 18:00:09+00:00,New Media Academy Life ,2002248.0,67108.0,1743.0,1385.0
CFTccBzBGQw,المقالب | الدحيح,2023-04-22 18:00:09+00:00,New Media Academy Life ,3447330.0,93359.0,1782.0,1524.0
O8K3XEb62NQ,مانشستر يونايتد | الدحيح,2023-04-18 18:00:11+00:00,New Media Academy Life ,7029914.0,187911.0,4442.0,2869.0
tOhUP9LibJc,الإندماج النووي | الدحيح,2023-04-15 18:00:07+00:00,New Media Academy Life ,3458505.0,96586.0,2083.0,1684.0
2AgpnT-bN-M,علاقات عن بعد | الدحيح,2023-04-11 18:00:00+00:00,New Media Academy Life ,4286194.0,180911.0,4312.0,1303.0
wa1QODdYVog,أخطر رجل مافيا | الدحيح,2023-04-08 18:00:07+00:00,New Media Academy Life ,7000255.0,147636.0,1925.0,1912.0
26sk88apodA,أحمد عدوية | الدحيح,2023-04-04 18:00:11+00:00,New Media Academy Life ,2162448.0,62455.0,2239.0,1604.0
F9DhFq58Kug,متى يصبح الحي ميت؟ | الدحيح,2023-04-01 18:00:09+00:00,New Media Academy Life ,4209127.0,124887.0,3164.0,1704.0
Xkb7Xdos1dM,شاورما الفراخ | الدحيح,2023-03-28 18:00:07+00:00,New Media Academy Life ,3187577.0,94861.0,2315.0,1345.0
arhrkprz0WQ,كيف تتخلص من الجثة | الدحيح,2023-03-25 18:00:09+00:00,New Media Academy Life ,3342556.0,104893.0,2520.0,1376.0
YnTEXW7RaYY,إنترفيو | الدحيح,2023-03-21 18:00:06+00:00,New Media Academy Life ,2503399.0,99613.0,1641.0,1083.0
subByvOYARA,فن التشاؤم | الدحيح,2023-03-18 18:00:11+00:00,New Media Academy Life ,3864824.0,113133.0,2418.0,1794.0
jkhwp2bFaR8,الخنزير | الدحيح,2023-03-14 18:00:10+00:00,New Media Academy Life ,4379450.0,146000.0,6105.0,1071.0
9h3Ejj3vqHs,فورمولا ١ | الدحيح,2023-03-11 18:00:11+00:00,New Media Academy Life ,2747215.0,102645.0,1707.0,1387.0
j02OZRjf2d8,Chat GPT | الدحيح,2023-03-07 18:00:08+00:00,New Media Academy Life ,6262750.0,203514.0,4090.0,1216.0
CByhaGnB9Co,الموناليزا وحشة | الدحيح,2023-03-04 18:00:07+00:00,New Media Academy Life ,3061029.0,103142.0,2526.0,1438.0
9RYlcU2sXTc,يوم قيامة النجم | الدحيح,2023-02-28 18:00:08+00:00,New Media Academy Life ,3513686.0,104326.0,3658.0,1568.0
XKnkiSJGjTk,البحث عن السعادة | الدحيح,2023-02-25 18:00:10+00:00,New Media Academy Life ,4206522.0,150695.0,3788.0,1585.0
zfBve7gvF2Y,المغول | الدحيح,2023-02-21 18:00:09+00:00,New Media Academy Life ,10833963.0,265305.0,6041.0,2000.0
W9ufeRcNJ-M,كيف تخدع الناس؟ | الدحيح,2023-02-18 18:00:09+00:00,New Media Academy Life ,4469680.0,153227.0,2577.0,1100.0
L-AkMLZCiNs,هانيبال | الدحيح,2023-02-14 18:00:09+00:00,New Media Academy Life ,6769050.0,182342.0,7019.0,1951.0
UiOo-3iSon8,الكابوس | الدحيح,2023-02-11 18:00:09+00:00,New Media Academy Life ,3218829.0,117826.0,2042.0,1178.0
QpIHg8dhBEE,Oppenheimer | الدحيح,2023-02-07 18:00:11+00:00,New Media Academy Life ,7313813.0,224806.0,3264.0,1523.0
2Ny5xYj2BEk,لا تأكل بالشوكة | الدحيح,2023-02-04 18:06:48+00:00,New Media Academy Life ,2940880.0,110342.0,2304.0,1289.0
HCSa0iwe4FM,فيلم رعب | الدحيح,2023-01-31 18:00:10+00:00,New Media Academy Life ,2936234.0,107107.0,1877.0,1620.0
-krXlF9grZQ,أحلى برجر في العالم | الدحيح,2023-01-28 18:00:10+00:00,New Media Academy Life ,2878422.0,107678.0,2344.0,1400.0
vHdFpIYvl88,الفيل | الدحيح,2023-01-24 18:00:07+00:00,New Media Academy Life ,4362482.0,131941.0,3059.0,1251.0
nIUTsuHD4-4,الحشاشين | الدحيح,2023-01-21 18:00:09+00:00,New Media Academy Life ,8957400.0,245015.0,5383.0,1557.0
D-gdILNwf7I,أخطر من النووي | الدحيح,2023-01-17 18:00:06+00:00,New Media Academy Life ,6485547.0,212635.0,2998.0,1312.0
DXEQoFp52U4,تاريخ الرقص الشرقي | الدحيح,2023-01-14 18:00:08+00:00,New Media Academy Life ,2787998.0,104806.0,3036.0,1269.0
RiMga7zpVfI,الرئيس الأمريكي | الدحيح,2024-04-20 17:00:07+00:00,New Media Academy Life ,3689513.0,100374.0,2537.0,1747.0
Li9bNk1enQw,ماركو بولو | الدحيح,2024-04-16 17:00:06+00:00,New Media Academy Life ,3565528.0,88433.0,2545.0,1817.0
Fi5grDvWgew,غزو الهند | الدحيح,2024-04-13 17:00:06+00:00,New Media Academy Life ,5636877.0,114305.0,3966.0,1985.0
I8ig8by6NOI,غدر الصحاب | الدحيح,2024-04-09 17:00:07+00:00,New Media Academy Life ,4328163.0,142119.0,3251.0,1560.0
BD7IRNnQSDg,الربع الخالي | الدحيح,2024-04-06 17:00:06+00:00,New Media Academy Life ,6848703.0,171148.0,6265.0,1727.0
sIl0OLZVhv4,غاز سام نتنفسه يوميًا | الدحيح,2024-04-02 17:00:06+00:00,New Media Academy Life ,2344190.0,69478.0,2023.0,1588.0
rhho9QbxfGM,ساعة الأثرياء | الدحيح,2024-03-30 17:00:07+00:00,New Media Academy Life ,4288655.0,119938.0,1732.0,1585.0
RcBR7YDFkaA,تاريخ التشريح | الدحيح,2024-03-26 17:00:06+00:00,New Media Academy Life ,2683367.0,87644.0,1673.0,1667.0
HtgT8Zmf35c,النسيان | الدحيح,2024-03-23 17:00:07+00:00,New Media Academy Life ,7095661.0,231728.0,4211.0,1319.0
xsah0W5f2DY,بيتهوفن | الدحيح,2024-03-19 17:00:07+00:00,New Media Academy Life ,2982773.0,104830.0,2450.0,1913.0
mn-br82ENxc,كيف يمكن أن تقنع الناس بفوائد التدخين والحرب؟ | الدحيح,2024-03-16 17:00:07+00:00,New Media Academy Life ,3485519.0,104770.0,2561.0,1673.0
y2exxaq0_YI,ألف ليلة وليلة | الدحيح,2024-03-12 17:00:07+00:00,New Media Academy Life ,3865764.0,136428.0,2250.0,1453.0
92rP7KbuovQ,أول حوت في العالم | الدحيح,2024-03-09 17:00:07+00:00,New Media Academy Life ,4272207.0,122301.0,7476.0,1590.0
Epa9CFnSqso,تشيرنوبل الأمريكية | الدحيح,2024-03-05 17:00:06+00:00,New Media Academy Life ,4070468.0,131826.0,2226.0,1630.0
